Date, Open, High, Low, Close, Volume
04/18/23, 45.50, 45.50, 44.50, 44.80, 53400
04/17/23, 44.50, 45.50, 44.50, 45.35, 20000
04/14/23, 45.00, 45.00, 44.30, 44.50, 432800
04/13/23, 45.00, 45.45, 44.50, 44.50, 7848400
04/12/23, 45.50, 45.50, 44.60, 45.00, 1074000
04/11/23, 45.85, 45.85, 45.00, 45.45, 198000
04/06/23, 45.50, 45.50, 44.50, 45.50, 518300
04/05/23, 44.25, 45.95, 44.25, 45.45, 23100
04/04/23, 46.95, 46.95, 44.50, 45.50, 1769000
04/03/23, 46.00, 47.00, 44.60, 45.95, 63200
03/31/23, 44.60, 46.50, 44.60, 45.50, 347100
03/30/23, 44.50, 45.50, 44.40, 44.60, 271900
03/29/23, 44.50, 45.00, 43.00, 44.25, 5411900
03/28/23, 41.95, 44.50, 40.05, 42.65, 4359400
03/27/23, 41.65, 42.00, 41.00, 41.95, 567200
03/24/23, 38.05, 40.00, 38.00, 38.65, 259800
03/23/23, 40.20, 40.20, 37.70, 37.90, 1757100
03/22/23, 39.25, 40.00, 37.95, 38.05, 10175500
03/21/23, 38.00, 39.00, 37.75, 38.05, 1251000
03/20/23, 39.00, 39.00, 37.50, 38.00, 1949300
03/17/23, 39.15, 39.25, 37.50, 38.15, 727600
03/16/23, 42.00, 42.00, 39.25, 40.15, 1754000
03/15/23, 42.20, 42.40, 40.55, 41.80, 79100
03/14/23, 42.80, 42.90, 42.00, 42.25, 144800
03/13/23, 44.00, 44.00, 42.60, 42.90, 125500
03/10/23, 43.25, 43.25, 42.50, 43.00, 197600
03/09/23, 44.50, 44.50, 43.00, 43.25, 478800
03/08/23, 44.25, 44.40, 43.00, 43.85, 561300
03/07/23, 44.70, 44.70, 44.00, 44.40, 38400
03/06/23, 45.50, 45.50, 44.50, 44.80, 380300
03/03/23, 45.30, 45.30, 45.00, 45.15, 95600
03/02/23, 45.25, 46.00, 45.25, 45.40, 1057300
03/01/23, 45.50, 45.50, 45.25, 45.50, 157900
02/28/23, 45.50, 45.65, 45.05, 45.50, 413600
02/27/23, 45.90, 45.90, 45.50, 45.60, 260200
02/24/23, 46.00, 46.00, 45.65, 45.95, 16600
02/23/23, 45.75, 46.00, 45.65, 45.85, 38200
02/22/23, 46.25, 46.25, 45.75, 46.00, 196700
02/21/23, 46.50, 46.50, 46.00, 46.25, 314900
02/20/23, 47.00, 47.00, 46.25, 46.25, 984600
02/17/23, 46.45, 46.50, 46.20, 46.45, 160600
02/16/23, 46.50, 46.50, 46.15, 46.35, 275600
02/15/23, 46.00, 46.50, 45.95, 46.15, 4359300
02/14/23, 45.75, 47.00, 45.75, 45.95, 637900
02/13/23, 45.75, 46.00, 45.40, 45.55, 35500
02/10/23, 46.00, 46.00, 45.50, 45.65, 1773800
02/09/23, 45.30, 46.00, 45.30, 45.75, 50700
02/08/23, 45.80, 45.80, 44.50, 45.00, 543100
02/07/23, 45.80, 45.80, 44.90, 45.10, 101200
02/06/23, 46.00, 46.45, 45.80, 46.00, 1803900
02/03/23, 46.00, 46.50, 45.05, 45.80, 34900
02/02/23, 45.50, 45.75, 45.00, 45.30, 67600
02/01/23, 45.00, 45.75, 44.50, 45.05, 44600
01/31/23, 45.00, 45.00, 43.90, 44.00, 1733900
01/30/23, 45.50, 45.75, 42.75, 44.95, 178200
01/27/23, 45.75, 45.75, 45.40, 45.40, 567200
01/26/23, 45.65, 45.70, 45.50, 45.55, 15200
01/25/23, 45.75, 45.75, 45.50, 45.70, 2440900
01/24/23, 45.65, 46.00, 45.60, 45.75, 1729900
01/23/23, 45.90, 46.00, 45.60, 45.95, 46900
01/20/23, 45.80, 46.00, 45.60, 46.00, 1348200
01/19/23, 46.00, 46.50, 45.80, 46.00, 3028700
01/18/23, 46.40, 46.50, 45.80, 46.00, 3568500
01/17/23, 46.00, 46.50, 46.00, 46.20, 147200
01/16/23, 46.50, 47.00, 46.05, 46.50, 1598900
01/13/23, 46.50, 49.00, 46.45, 46.55, 465200
01/12/23, 46.60, 47.00, 46.50, 46.90, 59000
01/11/23, 45.50, 47.50, 45.50, 46.05, 531900
01/10/23, 45.40, 46.50, 45.40, 45.50, 3427300
01/09/23, 45.45, 46.80, 45.45, 45.50, 1342400
01/06/23, 46.00, 46.00, 45.20, 45.55, 19300
01/05/23, 46.00, 46.00, 45.20, 45.35, 1600500
01/04/23, 45.00, 46.00, 45.00, 45.15, 7582400
01/03/23, 45.30, 45.35, 44.50, 45.05, 63500
12/30/22, 45.50, 46.00, 42.25, 44.50, 3084600
12/29/22, 45.25, 46.00, 45.10, 45.25, 257900
12/28/22, 46.20, 46.20, 45.10, 45.25, 3844300
12/23/22, 45.50, 45.75, 45.25, 45.25, 3311200
12/22/22, 45.50, 46.00, 45.00, 45.25, 135700
